show,year,rating,imdb,rotten_tomatoes
49,InuYasha,2000,16+,7.9,N/A
0,The Golden Girls,1985,7+,7.9,N/A
1,Good Behavior,2016,16+,8.1,78%
2,A Million Little Things,2018,16+,7.9,53%
3,The Outer Limits,1963,7+,8.2,91%
4,Sword Art Online,2012,16+,7.6,N/A
5,Man Seeking Woman,2015,18+,7.7,93%
6,Rurouni Kenshin,1996,16+,8.5,N/A
7,RuPaul's Drag Race All Stars,2012,16+,8.6,70%
8,Salem,2014,18+,7.1,82%
9,Descendants of the Sun,2016,16+,8.4,N/A
10,Ancient Aliens,2010,7+,7.3,N/A
11,Make It or Break It,2009,16+,7.5,79%
12,Your Lie in April,2014,7+,8.6,N/A
13,Wu-Tang: An American Saga,2019,18+,8.3,80%
14,The Amazing World of Gumball,2011,7+,8.2,N/A
15,Sliders,1995,7+,7.4,N/A
16,ER,1994,16+,7.7,N/A
17,Ally McBeal,1997,16+,6.8,61%
18,Siren,2018,16+,7.0,N/A
19,Mom,2013,16+,7.2,N/A
20,Touch,2012,7+,7.4,68%
21,The Detour,2016,7+,7.7,90%
22,The Baker and the Beauty,2020,7+,7.2,86%
23,My Mad Fat Diary,2013,16+,8.4,95%
24,Sesame Street,1969,all,8.1,N/A
25,PEN15,2019,18+,7.9,93%
26,High School DxD,2012,18+,7.6,N/A
27,Face Off,2011,7+,8.2,N/A
28,Akame ga Kill!,2014,18+,7.9,N/A
29,Parasyte -the maxim-,2014,18+,8.4,N/A
30,Kaguya-sama: Love is War,2019,16+,8.1,N/A
31,Legit,2013,18+,8.2,96%
32,Hell's Kitchen,2005,16+,7.1,N/A
33,Chicago Med,2015,16+,7.5,N/A
34,Full House,1987,all,6.7,N/A
35,Private Practice,2007,16+,6.6,51%
36,Daria,1997,16+,8.0,N/A
37,SIX,2017,18+,7.3,62%
38,Roots,2016,16+,7.9,96%
39,Shark Tank,2009,7+,7.6,N/A
40,Digimon Adventure,1999,7+,7.3,N/A
41,The Amazing Race,2001,7+,7.6,N/A
42,War and Peace,2016,16+,8.2,N/A
43,Alfred Hitchcock Presents,1955,16+,8.5,N/A
44,Breeders,2020,18+,7.1,83%
45,Ghost Adventures,2008,7+,7.5,N/A
46,Tyrant,2014,18+,7.8,60%
47,Star vs. the Forces of Evil,2015,7+,8.0,N/A
48,Whitechapel,2009,7+,7.9,75%
49,Ghost Whisperer,2005,7+,6.3,N/A
0,Body of Proof,2011,16+,7.1,76%
1,Casual,2015,16+,7.5,92%
2,The Brady Bunch,1969,all,6.7,77%
3,Chance,2016,16+,7.7,75%
4,Rake,2010,16+,8.6,100%
5,Roswell,1999,16+,7.5,N/A
6,Psycho-Pass,2012,16+,8.2,N/A
7,The Wrong Mans,2013,18+,7.8,95%
8,Everything's Gonna Be Okay,2020,16+,7.0,94%
9,Yu Yu Hakusho,1992,16+,8.4,100%
10,Battlestar Galactica,1978,7+,7.2,33%
11,Shameless,2004,18+,8.0,N/A
12,Dexter's Laboratory,1996,all,7.9,N/A
13,Underground,2016,18+,7.7,96%
14,Pretty Little Liars: The Perfectionists,2019,16+,7.1,100%
15,Boruto: Naruto Next Generations,2017,16+,7.1,N/A
16,Shrill,2019,18+,7.4,87%
17,Ben 10,2005,7+,7.2,N/A
18,Jane Eyre,2006,7+,8.3,N/A
19,Angie Tribeca,2016,16+,7.0,96%
20,Black Clover,2017,16+,8.0,N/A
21,Lodge 49,2018,16+,7.5,93%
22,H2O: Just Add Water,2006,all,7.2,N/A
23,WWE Raw,1993,7+,7.8,N/A
24,Greek,2007,16+,7.5,75%
25,Legends,2014,16+,7.5,56%
26,S.W.A.T.,2017,16+,7.0,N/A
27,The Path,2016,18+,7.3,77%
28,Black Butler,2008,16+,7.8,N/A
29,Flashpoint,2008,16+,7.7,N/A
30,Single Parents,2018,7+,7.0,75%
31,Deadliest Catch,2005,7+,7.8,N/A
32,King of the Hill,1997,7+,7.3,N/A
33,Trust,2018,18+,7.5,78%
34,Prodigal Son,2019,16+,8.2,54%
35,Doc Martin,2004,7+,8.3,N/A
36,Animaniacs,1993,all,7.9,N/A
37,Top Chef,2006,16+,7.5,N/A
38,10 Things I Hate About You,2009,16+,7.3,88%
39,Brothers and Sisters,2006,16+,7.3,N/A
40,Baby Daddy,2012,16+,7.3,N/A
41,The Glades,2010,16+,7.5,59%
42,The Fairly OddParents,2001,all,7.2,N/A
43,Twisted,2013,16+,7.3,73%
44,Teenage Mutant Ninja Turtles,2012,7+,7.8,N/A
45,Mary Kills People,2017,18+,7.5,100%
46,Hey Arnold!,1996,all,7.6,N/A
47,NOS4A2,2019,16+,6.7,68%
48,Making It,2018,7+,7.9,100%
49,Das Boot,2018,N/A,7.3,85%
0,Alone,2015,16+,8.4,N/A
