show,year,rating,imdb,rotten_tomatoes
522,The Heirs,2013,16+,7.5,N/A
523,The Mist,2017,18+,5.4,62%
524,Dogs,2018,all,8.2,92%
525,Aggretsuko,2018,16+,8.0,N/A
526,Patriot Act with Hasan Minhaj,2018,18+,8.2,N/A
527,Little Things,2016,18+,8.3,N/A
528,Undercover,2019,18+,7.9,N/A
529,Republic of Doyle,2010,16+,7.3,N/A
530,Fate/stay night [Unlimited Blade Works],2014,18+,8.0,N/A
531,Something in the Rain,2018,7+,8.1,N/A
532,Flaked,2016,18+,7.2,35%
533,Velvet,2014,16+,8.2,N/A
534,Boys Over Flowers,2009,16+,8.0,N/A
535,Criminal: UK,2019,18+,7.4,N/A
536,Red vs. Blue,2003,N/A,8.3,N/A
537,Hip Hop Evolution,2016,16+,8.4,N/A
538,The Final Table,2018,all,7.7,50%
539,Suburra: Blood on Rome,2017,16+,8.0,N/A
540,America's Funniest Home Videos,1989,7+,6.2,N/A
541,Salt Fat Acid Heat,2018,N/A,7.7,100%
542,Mischievous Kiss: Love in Tokyo,2013,N/A,7.8,N/A
543,Cells at Work!,2018,16+,7.6,N/A
544,Maid Sama!,2010,16+,8.0,N/A
545,The Big Show Show,2020,all,6.4,N/A
546,Power Rangers,1993,7+,6.4,73%
547,Into the Night,2020,18+,7.3,N/A
548,Angel Beats!,2010,16+,7.7,N/A
549,Bobby Kennedy for President,2018,16+,8.2,95%
550,Freud,2020,18+,6.6,50%
551,Memories of the Alhambra,2018,16+,7.8,N/A
552,Workin' Moms,2017,18+,7.4,N/A
553,Justice League Unlimited,2004,N/A,8.7,N/A
554,The Family,2019,16+,6.4,80%
555,Signal,2016,N/A,8.8,N/A
556,Bad Education,2012,16+,7.4,N/A
557,Brain Games,2011,7+,8.3,N/A
558,Thieves of the Wood,2020,18+,6.7,N/A
559,Wanted,2016,16+,7.7,N/A
560,Dad's Army,1968,7+,8.1,N/A
561,Hap and Leonard,2016,16+,7.6,N/A
562,Slasher,2016,18+,6.7,N/A
563,Rita,2012,16+,8.1,N/A
564,WHAT / IF,2019,18+,6.3,N/A
565,Pandemic: How to Prevent an Outbreak,2020,16+,6.3,N/A
566,The Irregular at Magic High School,2014,16+,7.2,N/A
567,Man Like Mobeen,2017,N/A,7.9,N/A
568,Blue Exorcist,2011,16+,7.5,N/A
569,The Rise of Phoenixes,2018,7+,8.7,N/A
570,She's Gotta Have It,2017,18+,6.7,77%
571,Slugterra,2012,7+,6.3,N/A
572,Night on Earth,2020,7+,8.2,N/A
573,The Circle France,2020,N/A,7.4,N/A
574,The Assets,2014,16+,7.5,56%
575,Nightflyers,2018,16+,5.9,35%
576,Knights of Sidonia,2014,18+,7.8,N/A
577,Sick Note,2017,18+,6.8,50%
578,Fate/stay night,2006,18+,7.4,N/A
579,Typewriter,2019,18+,6.5,60%
580,Zindagi Gulzar Hai,2012,N/A,9.0,N/A
581,The Last O.G.,2018,7+,6.9,N/A
582,I Think You Should Leave with Tim Robinson,2019,18+,7.4,93%
583,Baki,2018,18+,6.7,N/A
584,Stranger,2017,N/A,8.6,N/A
585,The Mysteries of Laura,2014,16+,6.8,24%
586,Toast of London,2013,16+,8.2,N/A
587,Terrace House: Tokyo 2019-2020,2019,N/A,7.8,N/A
588,Jessie,2011,all,5.9,N/A
589,The Good Cop,2018,16+,7.0,50%
590,World War II In HD Colour,2009,7+,8.7,N/A
