show,year,rating,imdb,rotten_tomatoes
394,Gortimer Gibbon's Life on Normal Street,2014,all,8.3,N/A
395,Nature,1982,all,8.9,N/A
396,Young Dracula,2006,N/A,7.7,N/A
397,Celebrity Ghost Stories,2009,7+,7.1,N/A
398,Oliver Twist,2007,7+,7.4,N/A
399,Swamp People,2010,7+,6.3,N/A
400,Bring It!,2014,7+,6.6,N/A
401,To the Ends of the Earth,2005,N/A,7.2,N/A
402,The Hills,2006,7+,3.5,52%
403,The Slave Hunters,2010,N/A,8.8,N/A
404,Charles II: The Power and The Passion,2003,16+,7.5,N/A
405,I Love Money,2008,N/A,6.1,N/A
406,Dora the Explorer,2000,all,4.0,N/A
407,Say Yes to the Dress,2007,7+,5.6,N/A
408,Middlemarch,1994,N/A,7.4,N/A
409,Wahlburgers,2014,16+,6.8,N/A
410,Criminal Minds: Suspect Behavior,2011,16+,6.3,42%
411,Apparitions,2008,18+,8.0,N/A
412,Father Knows Best,1954,all,7.4,N/A
413,One Mississippi,2016,18+,7.3,N/A
414,Wycliffe,1994,16+,7.1,N/A
415,The Passing Bells,2014,N/A,6.9,N/A
416,Féminin/Féminin,2014,16+,8.4,N/A
417,Z: The Beginning of Everything,2017,16+,7.2,N/A
418,Island at War,2004,N/A,7.6,N/A
419,I Shouldn't Be Alive,2005,7+,8.0,N/A
420,Buzzfeed Unsolved: Supernatural,2016,N/A,8.7,N/A
421,Emmerdale,1972,7+,4.8,N/A
422,Durham County,2007,18+,7.4,N/A
423,Land of the Lustrous,2017,16+,7.9,N/A
424,Little Women: LA,2014,16+,5.4,N/A
425,Himouto! Umaru-chan,2015,16+,7.0,N/A
426,The Way We Live Now,2001,N/A,7.6,N/A
427,BuzzFeed Unsolved - True Crime,2016,N/A,8.9,N/A
428,Empire Falls,2005,16+,7.3,N/A
429,Empresses In The Palace,2012,7+,8.4,N/A
430,Olympus,2015,16+,6.2,N/A
431,Touching Evil,1997,N/A,7.8,N/A
432,Secrets & Lies,2014,18+,7.5,N/A
433,The Legend of Bruce Lee,2008,N/A,7.0,N/A
434,Paradox,2009,16+,7.1,N/A
435,Little Britain USA,2008,18+,7.6,64%
436,Our Mutual Friend,1998,N/A,8.1,N/A
437,Titanic: Blood and Steel,2012,16+,7.3,N/A
438,Mankind: The Story of All of Us,2012,7+,7.7,N/A
439,The Lowe Files,2017,7+,6.8,60%
440,The Electric Company,1971,all,8.1,N/A
441,Wild at Heart,2006,7+,7.4,N/A
442,The Dust Bowl,2012,7+,8.2,N/A
443,Zoboomafoo,1999,7+,7.5,N/A
444,Quick Draw,2013,N/A,7.6,N/A
445,The Collection,2016,7+,7.1,N/A
446,Teen Mom OG,2009,7+,3.6,N/A
447,That Girl,1966,7+,7.1,N/A
448,Blue Murder,2003,N/A,7.2,N/A
449,Texas Rising,2015,16+,6.7,19%
450,Titanic,2012,16+,6.0,38%
451,Grace Under Fire,1993,7+,6.3,N/A
452,Popular Mechanics for Kids,1997,all,8.4,N/A
453,Dharmakshetra,2014,N/A,7.8,N/A
454,Daniel Tiger's Neighborhood,2012,all,7.4,N/A
455,Rowan & Martin's Laugh-In,1968,7+,8.0,N/A
456,American Playboy: The Hugh Hefner Story,2017,18+,7.5,N/A
457,The Slap,2015,16+,7.6,67%
458,Dilbert,1999,7+,7.3,N/A
459,Princess Tutu,2002,16+,8.1,N/A
460,Jane Eyre,1983,N/A,8.0,N/A
461,Wotakoi: Love is Hard for Otaku,2018,16+,7.6,N/A
462,Grand Blue,2018,18+,7.7,N/A
463,Thriller,1960,N/A,8.2,N/A
464,Pocoyo,2005,all,7.5,N/A
465,Astro Boy,1980,all,7.3,N/A
466,Home and Away,1988,7+,5.0,N/A
467,Touched by an Angel,1994,7+,6.0,N/A
468,Cyberchase,2002,all,6.8,N/A
469,Karakuri Circus,2018,N/A,7.1,N/A
470,Ultimate Force,2002,18+,7.7,N/A
471,The Devil's Whore,2008,N/A,7.1,N/A
472,Renegade,1992,N/A,6.0,N/A
